"Organization","ID/CDC","Administration","Tested Grade","STAAR - Mathematics|Tests Taken","STAAR - Mathematics|Average Scale Score","STAAR - Mathematics|Performance Levels|Did Not Meet|Count","STAAR - Mathematics|Performance Levels|Did Not Meet|Percentage","STAAR - Mathematics|Performance Levels|Approaches and Above|Count","STAAR - Mathematics|Performance Levels|Approaches and Above|Percentage","STAAR - Mathematics|Performance Levels|Meets and Above|Count","STAAR - Mathematics|Performance Levels|Meets and Above|Percentage","STAAR - Mathematics|Performance Levels|Masters|Count","STAAR - Mathematics|Performance Levels|Masters|Percentage","STAAR Spanish - Mathematics|Tests Taken","STAAR Spanish - Mathematics|Average Scale Score","STAAR Spanish - Mathematics|Performance Levels|Did Not Meet|Count","STAAR Spanish - Mathematics|Performance Levels|Did Not Meet|Percentage","STAAR Spanish - Mathematics|Performance Levels|Approaches and Above|Count","STAAR Spanish - Mathematics|Performance Levels|Approaches and Above|Percentage","STAAR Spanish - Mathematics|Performance Levels|Meets and Above|Count","STAAR Spanish - Mathematics|Performance Levels|Meets and Above|Percentage","STAAR Spanish - Mathematics|Performance Levels|Masters|Count","STAAR Spanish - Mathematics|Performance Levels|Masters|Percentage"
"MOUNT PLEASANT ISD","225902","Spring 2024","3","331","1464","78","24","253","76","146","44","47","14","8","1308","6","75","2","25","0","0","0","0"
"MOUNT PLEASANT ISD","225902","Spring 2024","5","325","1642","58","18","267","82","145","45","59","18","10","1476","7","70","3","30","1","10","0","0"
"MOUNT PLEASANT ISD","225902","Spring 2024","8","289","1806","107","37","182","63","80","28","18","6","","","","","","","","","",""
"MOUNT PLEASANT ISD","225902","Spring 2023","3","336","1453","85","25","251","75","155","46","49","15","7","1393","2","29","5","71","2","29","0","0"
"MOUNT PLEASANT ISD","225902","Spring 2023","5","327","1651","49","15","278","85","168","51","66","20","8","1486","5","63","3","38","0","0","0","0"
"MOUNT PLEASANT ISD","225902","Spring 2023","8","326","1797","99","30","227","70","78","24","6","2","","","","","","","","","",""
"MOUNT VERNON ISD","080901","Spring 2025","3","124","1476","28","23","96","77","63","51","21","17","0","","","","","","","","",""
"MOUNT VERNON ISD","080901","Spring 2025","5","101","1680","21","21","80","79","59","58","27","27","1","","","","","","","","",""
"MOUNT VERNON ISD","080901","Spring 2025","8","78","1821","21","27","57","73","29","37","2","3","","","","","","","","","",""
"MOUNT VERNON ISD","080901","Spring 2024","3","103","1519","14","14","89","86","62","60","30","29","0","","","","","","","","",""
"MOUNT VERNON ISD","080901","Spring 2024","5","97","1681","13","13","84","87","63","65","23","24","0","","","","","","","","",""
"MOUNT VERNON ISD","080901","Spring 2024","8","94","1802","28","30","66","70","24","26","0","0","","","","","","","","","",""
"MOUNT VERNON ISD","080901","Spring 2023","3","103","1489","19","18","84","82","58","56","25","24","0","","","","","","","","",""
"MOUNT VERNON ISD","080901","Spring 2023","5","119","1642","13","11","106","89","62","52","19","16","2","","","","","","","","",""
"MOUNT VERNON ISD","080901","Spring 2023","8","84","1788","26","31","58","69","18","21","0","0","","","","","","","","","",""
"MUENSTER ISD","049902","Spring 2025","3","40","1564","4","10","36","90","28","70","14","35","0","","","","","","","","",""
"MUENSTER ISD","049902","Spring 2025","5","41","1708","3","7","38","93","24","59","16","39","0","","","","","","","","",""
"MUENSTER ISD","049902","Spring 2025","8","39","1900","5","13","34","87","21","54","6","15","","","","","","","","","",""
"MUENSTER ISD","049902","Spring 2024","3","30","1555","3","10","27","90","20","67","11","37","0","","","","","","","","",""
"MUENSTER ISD","049902","Spring 2024","5","39","1654","3","8","36","92","18","46","6","15","0","","","","","","","","",""
"MUENSTER ISD","049902","Spring 2024","8","40","1861","7","18","33","83","14","35","5","13","","","","","","","","","",""
"MUENSTER ISD","049902","Spring 2023","3","41","1584","4","10","37","90","29","71","22","54","0","","","","","","","","",""
"MUENSTER ISD","049902","Spring 2023","5","39","1690","1","3","38","97","28","72","13","33","0","","","","","","","","",""
"MUENSTER ISD","049902","Spring 2023","8","48","1939","3","6","45","94","34","71","16","33","","","","","","","","","",""
"MULESHOE ISD","009901","Spring 2025","3","91","1444","31","34","60","66","34","37","13","14","2","","","","","","","","",""
"MULESHOE ISD","009901","Spring 2025","5","94","1592","34","36","60","64","31","33","12","13","3","","","","","","","","",""
"MULESHOE ISD","009901","Spring 2025","8","111","1855","41","37","70","63","58","52","20","18","","","","","","","","","",""
"MULESHOE ISD","009901","Spring 2024","3","96","1418","38","40","58","60","34","35","10","10","6","1329","4","67","2","33","1","17","0","0"
"MULESHOE ISD","009901","Spring 2024","5","87","1633","23","26","64","74","38","44","12","14","0","","","","","","","","",""
"MULESHOE ISD","009901","Spring 2024","8","84","1810","37","44","47","56","28","33","10","12","","","","","","","","","",""
"MULESHOE ISD","009901","Spring 2023","3","100","1445","26","26","74","74","37","37","12","12","0","","","","","","","","",""
"MULESHOE ISD","009901","Spring 2023","5","94","1577","33","35","61","65","29","31","7","7","0","","","","","","","","",""
"MULESHOE ISD","009901","Spring 2023","8","105","1811","39","37","66","63","36","34","8","8","","","","","","","","","",""
"MULLIN ISD","167902","Spring 2025","3","9","1303","6","67","3","33","1","11","0","0","0","","","","","","","","",""
"MULLIN ISD","167902","Spring 2025","5","13","1445","11","85","2","15","0","0","0","0","0","","","","","","","","",""
"MULLIN ISD","167902","Spring 2025","8","8","1705","7","88","1","13","1","13","1","13","","","","","","","","","",""
"MULLIN ISD","167902","Spring 2024","3","4","","","","","","","","","","1","","","","","","","","",""
"MULLIN ISD","167902","Spring 2024","5","8","1470","6","75","2","25","0","0","0","0","0","","","","","","","","",""
"MULLIN ISD","167902","Spring 2024","8","22","1742","15","68","7","32","2","9","1","5","","","","","","","","","",""
"MULLIN ISD","167902","Spring 2023","3","7","1347","4","57","3","43","1","14","0","0","0","","","","","","","","",""
"MULLIN ISD","167902","Spring 2023","5","6","1548","2","33","4","67","1","17","0","0","0","","","","","","","","",""
"MULLIN ISD","167902","Spring 2023","8","12","1725","8","67","4","33","1","8","0","0","","","","","","","","","",""
"MUMFORD ISD","198906","Spring 2025","3","43","1578","1","2","42","98","34","79","19","44","0","","","","","","","","",""
"MUMFORD ISD","198906","Spring 2025","5","39","1714","3","8","36","92","27","69","11","28","0","","","","","","","","",""
"MUMFORD ISD","198906","Spring 2025","8","16","1895","1","6","15","94","11","69","3","19","","","","","","","","","",""
"MUMFORD ISD","198906","Spring 2024","3","42","1546","1","2","41","98","29","69","11","26","0","","","","","","","","",""
"MUMFORD ISD","198906","Spring 2024","5","40","1772","0","0","40","100","34","85","17","43","0","","","","","","","","",""
"MUMFORD ISD","198906","Spring 2024","8","18","1933","1","6","17","94","15","83","4","22","","","","","","","","","",""
"MUMFORD ISD","198906","Spring 2023","3","40","1587","0","0","40","100","32","80","18","45","0","","","","","","","","",""
"MUMFORD ISD","198906","Spring 2023","5","42","1753","1","2","41","98","33","79","17","40","0","","","","","","","","",""
"MUMFORD ISD","198906","Spring 2023","8","18","1999","0","0","18","100","17","94","10","56","","","","","","","","","",""
"MUNDAY CISD","138903","Spring 2025","3","30","1482","4","13","26","87","15","50","8","27","0","","","","","","","","",""
"MUNDAY CISD","138903","Spring 2025","5","19","1651","0","0","19","100","10","53","1","5","0","","","","","","","","",""
"MUNDAY CISD","138903","Spring 2025","8","27","1940","0","0","27","100","21","78","7","26","","","","","","","","","",""
"MUNDAY CISD","138903","Spring 2024","3","31","1431","10","32","21","68","12","39","1","3","0","","","","","","","","",""
"MUNDAY CISD","138903","Spring 2024","5","22","1712","3","14","19","86","16","73","7","32","0","","","","","","","","",""
"MUNDAY CISD","138903","Spring 2024","8","46","1869","11","24","35","76","21","46","7","15","","","","","","","","","",""
"MUNDAY CISD","138903","Spring 2023","3","20","1430","5","25","15","75","7","35","2","10","0","","","","","","","","",""
"MUNDAY CISD","138903","Spring 2023","5","26","1734","1","4","25","96","19","73","9","35","0","","","","","","","","",""
"MUNDAY CISD","138903","Spring 2023","8","24","1828","5","21","19","79","11","46","1","4","","","","","","","","","",""
"MURCHISON ISD","107908","Spring 2025","3","27","1436","10","37","17","63","14","52","3","11","0","","","","","","","","",""
"MURCHISON ISD","107908","Spring 2025","5","14","1602","6","43","8","57","7","50","2","14","0","","","","","","","","",""
"MURCHISON ISD","107908","Spring 2025","8","13","1864","3","23","10","77","8","62","3","23","","","","","","","","","",""
"MURCHISON ISD","107908","Spring 2024","3","9","1464","2","22","7","78","3","33","1","11","0","","","","","","","","",""
"MURCHISON ISD","107908","Spring 2024","5","20","1555","9","45","11","55","6","30","1","5","0","","","","","","","","",""
"MURCHISON ISD","107908","Spring 2024","8","15","1868","3","20","12","80","7","47","2","13","","","","","","","","","",""
"MURCHISON ISD","107908","Spring 2023","3","18","1444","5","28","13","72","6","33","4","22","0","","","","","","","","",""
"MURCHISON ISD","107908","Spring 2023","5","19","1573","5","26","14","74","6","32","1","5","0","","","","","","","","",""
"MURCHISON ISD","107908","Spring 2023","8","19","1824","4","21","15","79","5","26","1","5","","","","","","","","","",""
"NACOGDOCHES ISD","174904","Spring 2025","3","371","1364","202","54","169","46","83","22","20","5","16","1314","11","69","5","31","1","6","0","0"
"NACOGDOCHES ISD","174904","Spring 2025","5","357","1564","164","46","193","54","98","27","42","12","11","1446","9","82","2","18","0","0","0","0"
"NACOGDOCHES ISD","174904","Spring 2025","8","397","1789","196","49","201","51","110","28","30","8","","","","","","","","","",""
"NACOGDOCHES ISD","174904","Spring 2024","3","388","1383","194","50","194","50","90","23","28","7","8","1274","7","88","1","13","0","0","0","0"
"NACOGDOCHES ISD","174904","Spring 2024","5","384","1532","204","53","180","47","77","20","17","4","1","","","","","","","","",""
"NACOGDOCHES ISD","174904","Spring 2024","8","315","1750","193","61","122","39","36","11","2","1","","","","","","","","","",""
"NACOGDOCHES ISD","174904","Spring 2023","3","381","1375","193","51","188","49","78","20","23","6","1","","","","","","","","",""
"NACOGDOCHES ISD","174904","Spring 2023","5","376","1589","124","33","252","67","122","32","44","12","2","","","","","","","","",""
"NACOGDOCHES ISD","174904","Spring 2023","8","315","1757","169","54","146","46","42","13","7","2","","","","","","","","","",""
"NATALIA ISD","163903","Spring 2025","3","102","1338","65","64","37","36","15","15","4","4","1","","","","","","","","",""
"NATALIA ISD","163903","Spring 2025","5","107","1564","43","40","64","60","33","31","8","7","0","","","","","","","","",""
"NATALIA ISD","163903","Spring 2025","8","98","1752","55","56","43","44","15","15","1","1","","","","","","","","","",""
"NATALIA ISD","163903","Spring 2024","3","103","1382","50","49","53","51","27","26","3","3","0","","","","","","","","",""
"NATALIA ISD","163903","Spring 2024","5","67","1568","27","40","40","60","22","33","5","7","1","","","","","","","","",""
"NATALIA ISD","163903","Spring 2024","8","71","1755","44","62","27","38","10","14","1","1","","","","","","","","","",""
"NATALIA ISD","163903","Spring 2023","3","90","1404","32","36","58","64","28","31","5","6","0","","","","","","","","",""
"NATALIA ISD","163903","Spring 2023","5","77","1552","37","48","40","52","18","23","7","9","0","","","","","","","","",""
"NATALIA ISD","163903","Spring 2023","8","76","1770","33","43","43","57","12","16","1","1","","","","","","","","","",""
"NAVARRO ISD","094903","Spring 2025","3","230","1511","42","18","188","82","132","57","62","27","0","","","","","","","","",""
"NAVARRO ISD","094903","Spring 2025","5","225","1662","43","19","182","81","123","55","53","24","1","","","","","","","","",""
"NAVARRO ISD","094903","Spring 2025","8","246","1871","63","26","183","74","135","55","48","20","","","","","","","","","",""
"NAVARRO ISD","094903","Spring 2024","3","178","1482","34","19","144","81","91","51","30","17","0","","","","","","","","",""
"NAVARRO ISD","094903","Spring 2024","5","169","1629","34","20","135","80","84","50","26","15","1","","","","","","","","",""
"NAVARRO ISD","094903","Spring 2024","8","142","1811","46","32","96","68","45","32","11","8","","","","","","","","","",""
"NAVARRO ISD","094903","Spring 2023","3","166","1505","22","13","144","87","102","61","38","23","0","","","","","","","","",""
"NAVARRO ISD","094903","Spring 2023","5","183","1626","37","20","146","80","83","45","33","18","0","","","","","","","","",""
"NAVARRO ISD","094903","Spring 2023","8","131","1845","31","24","100","76","56","43","11","8","","","","","","","","","",""
"NAVASOTA ISD","093904","Spring 2025","3","211","1404","92","44","119","56","72","34","20","9","1","","","","","","","","",""
"NAVASOTA ISD","093904","Spring 2025","5","220","1560","94","43","126","57","55","25","21","10","9","1451","7","78","2","22","1","11","0","0"
"NAVASOTA ISD","093904","Spring 2025","8","272","1817","87","32","185","68","99","36","16","6","","","","","","","","","",""
"NAVASOTA ISD","093904","Spring 2024","3","221","1417","79","36","142","64","63","29","20","9","7","1265","6","86","1","14","0","0","0","0"
"NAVASOTA ISD","093904","Spring 2024","5","234","1580","81","35","153","65","89","38","18","8","6","1404","6","100","0","0","0","0","0","0"
"NAVASOTA ISD","093904","Spring 2024","8","195","1837","49","25","146","75","85","44","22","11","","","","","","","","","",""
"NAVASOTA ISD","093904","Spring 2023","3","207","1420","67","32","140","68","61","29","22","11","4","","","","","","","","",""
"NAVASOTA ISD","093904","Spring 2023","5","197","1587","51","26","146","74","73","37","14","7","4","","","","","","","","",""
"NAVASOTA ISD","093904","Spring 2023","8","254","1820","73","29","181","71","94","37","15","6","","","","","","","","","",""
"NAZARETH ISD","035903","Spring 2025","3","17","1542","2","12","15","88","13","76","7","41","0","","","","","","","","",""
"NAZARETH ISD","035903","Spring 2025","5","17","1680","0","0","17","100","11","65","3","18","0","","","","","","","","",""
"NAZARETH ISD","035903","Spring 2025","8","10","2069","0","0","10","100","10","100","5","50","","","","","","","","","",""
"NAZARETH ISD","035903","Spring 2024","3","22","1556","3","14","19","86","16","73","11","50","0","","","","","","","","",""
"NAZARETH ISD","035903","Spring 2024","5","17","1699","1","6","16","94","11","65","3","18","0","","","","","","","","",""
"NAZARETH ISD","035903","Spring 2024","8","9","1999","0","0","9","100","9","100","5","56","","","","","","","","","",""
"NAZARETH ISD","035903","Spring 2023","3","15","1524","1","7","14","93","11","73","7","47","0","","","","","","","","",""
"NAZARETH ISD","035903","Spring 2023","5","19","1735","2","11","17","89","15","79","7","37","0","","","","","","","","",""
"NAZARETH ISD","035903","Spring 2023","8","10","2010","0","0","10","100","10","100","3","30","","","","","","","","","",""
"NECHES ISD","001906","Spring 2025","3","22","1424","6","27","16","73","9","41","1","5","0","","","","","","","","",""
"NECHES ISD","001906","Spring 2025","5","20","1595","7","35","13","65","8","40","3","15","0","","","","","","","","",""
"NECHES ISD","001906","Spring 2025","8","28","2056","0","0","28","100","27","96","17","61","","","","","","","","","",""
"NECHES ISD","001906","Spring 2024","3","31","1446","8","26","23","74","12","39","1","3","0","","","","","","","","",""
"NECHES ISD","001906","Spring 2024","5","23","1610","5","22","18","78","11","48","2","9","0","","","","","","","","",""
"NECHES ISD","001906","Spring 2024","8","24","2056","1","4","23","96","22","92","14","58","","","","","","","","","",""
"NECHES ISD","001906","Spring 2023","3","19","1438","7","37","12","63","8","42","1","5","0","","","","","","","","",""
"NECHES ISD","001906","Spring 2023","5","23","1639","4","17","19","83","11","48","3","13","0","","","","","","","","",""
"NECHES ISD","001906","Spring 2023","8","17","1963","0","0","17","100","14","82","5","29","","","","","","","","","",""
"NEDERLAND ISD","123905","Spring 2025","3","411","1528","62","15","349","85","263","64","118","29","3","","","","","","","","",""
